nombre_ent,nombre_mun,nombre_tip,d_nombre,d_codigopo
Aguascalientes,Aguascalientes,Colonia,Zona Centro,20000
Baja California,Ensenada,Fraccionamiento,Siena Residencial,22785
Chihuahua,Ahumada,Rancho,El ?gate,32830
Nayarit,Acaponeta,Ejido,La Paloma Primera,63427
Quintana Roo,Cozumel,Fraccionamiento,Las Golondrinas,77670
Sinaloa,Ahome,Colonia,?lamo,81248
Aguascalientes,Asientos,Colonia,Guadalupe,20700
Campeche,Campeche,Colonia,San Francisco de Campeche Centro,24000
Colima,Colima,Colonia,Colima Centro,28000
Sinaloa,Angostura,Rancho,Las Tunas,81625
Sonora,Agua Prieta,Colonia,Bicentenario,84269
Aguascalientes,Calvillo,Zona industrial,Parque Industrial Calvillo,20854
Baja California,Tecate,Colonia,Piedra Angular,21453
Baja California Sur,La Paz,Colonia,Zona Central,23000
Campeche,Carmen,Fraccionamiento,Residencial Las Palmas,24153
Chiapas,Acapetahua,Colonia,7 de Abril,30580
Guanajuato,San Miguel de Allende,Fraccionamiento,Polo Habitacional La Esmeralda,37893
Quintana Roo,Isla Mujeres,Colonia,La Guadalupana,77410
Veracruz de Ignacio de la Llave,Acayucan,Colonia,Villas Acayucan,96010
Coahuila de Zaragoza,Arteaga,Colonia,Autopista,25352
Sinaloa,Concordia,Pueblo,San Lorenzo,82685
Tabasco,Centro,Fraccionamiento,Portal Del Agua,86000
Durango,Durango,Colonia,Victoria de Durango Centro,34000
Guanajuato,Apaseo el Grande,Fraccionamiento,Villas de Castillo,38185
Tabasco,Comalcalco,Colonia,Bicentenario,86340
Tlaxcala,Apizaco,Fraccionamiento,Villa Santa Clara,90354
Veracruz de Ignacio de la Llave,Acultzingo,Colonia,El Mirador,94760
Colima,Manzanillo,Fraccionamiento,Almendros Residencial II,28864
Guanajuato,Celaya,Colonia,Villas Vicenza,38033
Morelos,Cuernavaca,Colonia,Cuernavaca Centro,62000
Sinaloa,Choix,Ejido,El Altillo,81717
Tamaulipas,Camargo,Colonia,El Sauz,88444
Guanajuato,Manuel Doblado,Finca,Agua Nueva,36495
Jalisco,Arandas,Rancho,La Garita,47186
Morelos,Emiliano Zapata,Fraccionamiento,Altavista,62764
Nayarit,Xalisco,Fraccionamiento,Puerta Luna,63785
Quintana Roo,Solidaridad,Fraccionamiento,Bali,77718
Chihuahua,Bocoyna,Barrio,El Pozo,33210
Jalisco,El Arenal,Fraccionamiento,La Cima,45355
